length,emoji_count,hashtag_count,exclamation_count,question_count,capitalized_word_count,sentence_count,avg_word_length,verb_count,noun_count,adjective_count,entity_count,has_numerical_list,word_count,buzzword_count,buzzword_ratio,humble_brag_count,personal_pronouns,motivation_score,excessive_punctuation,has_call_to_action,starts_with_number,contains_money_reference,sentiment_polarity,sentiment_subjectivity,is_extemely_positive,cringe_score
144,1,0,2,0,1,4,2.9655172413793105,3,8,2,5,0,43,0,0.0,0,1,0,0,1,0,1,0.390625,0.3333333333333333,0,16182
360,1,0,0,0,0,10,2.91025641025641,11,21,6,8,0,103,0,0.0,0,1,0,0,1,1,1,0.75,0.4,0,346
369,1,0,0,2,0,7,4.566666666666666,12,10,5,3,0,74,0,0.0,0,5,0,0,1,0,1,-0.43333333333333335,0.6666666666666666,0,765
837,0,0,0,0,0,10,4.93984962406015,21,25,15,7,0,150,0,0.0,0,10,0,0,1,0,1,0.17574907235621523,0.41579777365491644,0,38
1299,3,0,0,2,0,19,5.329896907216495,34,39,22,9,0,224,0,0.0,0,2,0,0,1,0,1,0.15625000000000003,0.4078125,0,1156
252,1,0,2,0,0,5,3.82,6,7,9,0,0,56,0,0.0,0,3,0,0,0,0,0,0.21666666666666667,0.7416666666666667,0,968
899,1,0,0,3,0,12,4.971223021582734,21,40,15,6,0,161,0,0.0,0,6,0,0,0,0,1,0.17214285714285715,0.5076190476190476,0,67
229,1,0,1,0,0,5,4.342105263157895,8,14,1,4,0,50,0,0.0,0,1,0,0,1,0,1,0.0,0.0,0,210
214,0,0,0,2,0,4,4.3428571428571425,4,8,2,2,0,45,0,0.0,0,2,0,0,1,0,1,0.2,0.3,0,19
940,1,0,0,4,0,34,4.157894736842105,26,34,8,20,0,216,0,0.0,0,3,0,0,1,0,1,0.25312500000000004,0.5770833333333334,0,35
378,2,0,1,0,0,9,3.8125,7,18,5,3,0,94,0,0.0,0,3,0,0,1,0,1,0.675,0.5,0,91
344,1,0,0,0,0,8,4.607142857142857,7,16,6,6,0,71,0,0.0,0,3,0,0,0,0,1,0.11249999999999999,0.4895833333333333,0,137
161,0,0,0,0,0,4,4.0,7,5,0,0,0,34,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,28
124,2,0,2,0,1,4,3.9545454545454546,3,7,2,3,0,30,0,0.0,0,0,0,0,0,0,1,0.3125,0.3333333333333333,0,532
785,3,0,0,2,0,12,3.66,20,35,2,14,0,190,0,0.0,0,7,0,0,1,0,1,0.0,0.4,0,8
